No.,Finding,Severity,Component,Ownership,Evidence,Security impact,Decision,Action/Rationale,Validation performed,Residual risk,Responsible owner,Target date,Release-blocking
1,Microphone purpose string,Info,Runner.app/Info.plist,App,"Source wording names MantraSutra and voice recording purpose",Unclear permission wording can surprise users,Fix,"Use specific approved purpose string; verify final IPA",Source plist inspected,Final packaged wording pending,iOS app,Before release,Yes
2,Photo Library permission,Medium,Runner.app/Info.plist,App,"Photo keys absent from source and baseline effective plist",Unnecessary privacy scope,Fix,"Removed; Files export does not require Photos",Source and baseline inspected,Physical no-prompt test pending,iOS app / QA,Before release,Yes
3,Photo picker frameworks,Info,IPA frameworks,Dependency packaging,"DKImagePicker and DKPhotoGallery absent in prior inventory",Unused photo surface,Fix,Use file_selector for Files export,Baseline framework inventory,Recheck final IPA,iOS app,Before release,Yes
4,ATS configuration,Info,Info.plist / networking,App/platform,"No insecure exception requiring change identified",Cleartext could expose traffic,No Action Required,Preserve HTTPS posture,Prior source and MobSF review,Final report pending,iOS app,Before release,No
5,_fopen / _sscanf,Info,Runner Flutter vendor frameworks,Mixed/vendor,"No App.framework imports; binary-specific runtime/framework occurrences",Potential unsafe memory/file use,Third-Party Dependency,Do not patch vendor binaries,Baseline symbol attribution,Dependency implementation risk,Dependency owners,Vendor cadence,No
6,_NSLog,Info,Native vendor frameworks,Mixed/vendor,"No app-owned NSLog/printf/os_log calls",Sensitive logging risk,Third-Party Dependency,Monitor supported dependency updates,Source and binary attribution,Vendor logging behavior,Dependency owners,Vendor cadence,No
7,App-owned release logging,Medium,Dart application,App,"SafeLog disabled outside kDebugMode",Sensitive data leakage,No Action Required,Keep payloads and headers out of logs,Source audit,Regression risk,App engineering,Continuous,No
8,Stack canaries,Info,Dart C generated vendor binaries,Mixed/vendor,"Runner protected; absent markers limited to inapplicable/vendor targets",Exploit mitigation variation,Third-Party Dependency,Preserve supported compiler defaults,Binary inventory,Vendor/compiler risk,Dependency owners,Vendor cadence,No
9,ARC,Info,Runner Dart AOT C vendor,Mixed/vendor,"ARC enabled for Runner; Dart/C not ARC targets",Memory safety,False Positive,"Blanket ARC conclusion is technically inapplicable",Settings and ownership reviewed,Native dependency risk,App/dependency owners,N/A,No
10,@rpath,Info,Mach-O load commands,Platform/build,"Only standard executable/loader Frameworks and /usr/lib/swift paths",Library injection,No Action Required,Preserve standard signed paths,All baseline runpaths inventoried,Final recheck pending,iOS app,Before release,No
11,Binary encryption,High,Runner and App.framework,Apple distribution,"Local IPA cryptid=0; Runner cryptsize=114688; App cryptsize=7225344",Locally readable code,Accepted Risk,"Pre-App-Store export characteristic; never patch binaries",otool on baseline,App Store processing not verified,Release/security,Before release review,No
12,Debug symbols,Medium,App and frameworks,Mixed/vendor,"No embedded dSYM; visible runtime/vendor symbols are not necessarily full debug data",Reverse engineering assistance,Third-Party Dependency,Preserve external dSYMs and do not manually strip vendors,Package and ownership review,Public/runtime symbols remain,App/dependency owners,Vendor cadence,No
13,Code signing,High,Runner and frameworks,Build/release,"Cloud Managed Apple Distribution export; signatures present",Code integrity,No Action Required,Validate final archive in Xcode/App Store Connect,Export summary inspected,Final validation pending,Release engineering,Before release,Yes
14,Architectures,Info,All Mach-O binaries,Build/dependencies,arm64 only in baseline inventory,Incorrect simulator packaging,No Action Required,Preserve device-only build,Baseline inventory,Final recheck pending,Release engineering,Before release,Yes
15,Production push entitlement,Info,Runner entitlements,App/signing,aps-environment=production in baseline,Push failure,No Action Required,Preserve production entitlement,Baseline entitlement review,Final recheck pending,Release engineering,Before release,Yes
16,Debug entitlement,High,Runner entitlements,App/signing,get-task-allow=false in baseline,Debug attach,No Action Required,Preserve Release signing,Baseline entitlement review,Final recheck pending,Release engineering,Before release,Yes
17,Recorded-audio storage and retention,Medium,VoiceRecordingService,App/backend,"Documents/recordings; cancel and delete cleanup; backend upload",Sensitive persistent voice content,Accepted Risk,"Persistent private storage matches feature; confirm backup/logout/backend policy",Full source lifecycle traced,"Logout does not purge local files; backend retention unclear",Product/backend/privacy,Before privacy sign-off,Yes
18,Files export,Info,home_screen.dart / file_selector,App/platform,"Explicit getSaveLocation then XFile.saveTo",Intentional external copy,No Action Required,User-mediated Files export,Source inspected,User controls exported copy,iOS app / QA,Before release,No
19,System sharing,Info,home_screen.dart / share_plus,App/platform,"Explicit Share.shareXFiles action",Intentional disclosure,No Action Required,System share sheet is intended,Source inspected,Destination app controls copy,iOS app / QA,Before release,No
20,Stripe publishable key configuration,High,Dart AOT / ApiConfig,App/release config,"Source and baseline contain pk_test_; no Stripe sk_* found in App AOT",Test configuration cannot ship,Fix,"Configure production publishable key; never embed secret key; rebuild",Source and baseline strings searched,Unresolved publication blocker,Payments / release engineering,Before release,Yes
21,Other embedded secrets/API keys,High,Final IPA,App/dependencies,"Final MobSF/static-secret result unavailable",Credential exposure,Fix,Triage and remove/rotate genuine secrets,Limited baseline scan,Full final scan pending,Security / service owners,Before release,Yes
22,Android-only build findings,Info,Android toolchain,Build environment,"Command-line tools/licenses missing; AAB symbol-strip check failed",Cross-platform regression,Fix,Repair toolchain and rerun if Android release is in scope,Prior doctor and build attempt,Android release not proven,Android / release engineering,Before Android release,No (iOS)
23,Remaining MobSF medium/info/hotspots,Various,Final IPA/report,Mixed,Final report unavailable,Unknown,Fix,Triage every final result with evidence,Pending,Unknown,Security / release engineering,Before release,Yes
